text,y_true,y_pred,p_neg,p_neu,p_pos
"Liked that,Echo Dot 5 can be used as external bluetooth speaker even for 2nd generation Fire TV stick attached to older non smart HDMI TV.It also controlled the 2nd generation Fire TV stick to open applications & all on TV,do some searches on TV as well.It has temperature sensor & some ultrasound sensor which couldn't be tested without more smart devices.The bass sound is good from small speaker. Mics are nice & sensitive enough.It came preconfigured & connected directly from Amazon cloud synced data from 2nd generation Fire TV stick.Didnot like no rechargable battery included.Always a corded wire shows up.Looks bad for a smart device.Didnot like clock & temperature not displayed yet.Did not like Echo Dot 5 showing device not compatible for auto updated 2nd generation Fire tv stick to become home theater system.Even after 2nd generation Fire TV stick was updated from Settings-->Fire TV-->Install updates several times & restarted till it showed latest up to date Fire TV OS.I didnot like vendor lockin for common man. Till date,There is no Interoperability with compatibility between Fire OS,Fire TV Stick 2nd generation,Echo Dot 5,Google Assistant,Google Nest Mini 2,Google Chrome cast & such smart IOT devices which is much required to make more value for money & make life simpler for all.I did not like there is no standardization of manufacturing standard Gaming remote control pairing standards that can work with Fire TV stick.I did not like that Amazon Luna on Fire TV stick is not allowed in India.I didnot like that,no common interoperability open standards for Virtual reality shopping, gaming & other applications with Echo Dot 5 & other company smart IOT devices are being governed by IEEE or such institutions for net neutrality & better future with more value for money without vendor lockin.",2,2,0.16620512,0.13642165,0.6973733
Voice recognition is working properly,1,1,0.19948334,0.49785,0.30266666
Good sound quality but not added too much facilities. But ok,2,2,0.15537208,0.22299062,0.62163734
Volume is very low echo dotAmazon subscription required for daily taskAs spotify doesn't have much old songs,1,2,0.22596952,0.29020745,0.48382303
Much improved loudness and sound quality compared to earlier generation,2,2,0.22344345,0.2993403,0.4772162
Product is good but language change telugu option no in 5th generation,1,1,0.073880844,0.65514183,0.2709773
I use it for my baby. She loves it and I think her first word is going to be Alexa.,2,2,0.16606043,0.3578964,0.47604316
Amazing,2,2,0.3006748,0.28487456,0.4144507
Alexa is excellent,2,2,0.3003542,0.30347562,0.39617017
Sound is good but equlizer option is now disabled in alexa app and in top of that customer service has no update on this.,1,1,0.031333245,0.822985,0.14568175
This is good product,2,2,0.21959695,0.29075745,0.4896455
"Amazon Echo dot made our nights pleasing and Alexa is our night routine for teasing, playing and listening to all our favourite songs. Thanks to amazon for the product.",2,2,0.21071514,0.23724309,0.55204177
Good Quality of Product. Easy to use and configure.,2,2,0.20061131,0.20995063,0.589438
"Its good but manu features not available. Follow up mod is not working and washing Machine announcement not working after changing the market place from.com to.in and it is been more than a month they trying to fix the issues but ticket still open and issues are not fixed.Routines feature is not properly work as we are not able to announce any routine for every hours for upto 4 or 5 hours, it is not able to specify.",1,2,0.11043606,0.2570754,0.63248855
GOOD,2,2,0.26259705,0.2822415,0.45516145
"I’ve been using this device since May 2023, and honestly, from day one, I’ve felt disappointed with my purchase. There are a few ongoing issues that really need attention:1. Poor voice recognition: It doesn’t recognise words properly, especially Indian English. In reality, when we ask for Telugu or Tamil songs, it just doesn’t understand or play the correct ones.2. Frequent disconnection issues: Every 3–4 months, it disconnects on its own, and I have to reset it to make it work again. This time, it hasn’t connected for the last 10 days.3. Lack of helpful suggestions: Alexa should give regular suggestions through the mobile app or YouTube on how to make better use of it. Right now, we only use it for songs, reminders, time, and weather.4. Maintenance issue: My Echo is kept in the kitchen, and it has tiny holes that easily collect dust. I have no idea how to clean them safely.Overall, I feel quite disappointed that I bought this. I should have gone for a Google product instead — at least it understands Indian English and regional language names much better.",0,0,0.93483603,0.039015226,0.02614878
Good Product bougt it for my sister. Looking to buy it again just waiting for price drop. Sound quality is best.,2,2,0.16344255,0.22835349,0.608204
Sound quality is good andVoice recognition is amazing,2,2,0.18747768,0.25120366,0.5613187
"Giving it 3 because i was searching for a bluetooth speaker and amazon showed as one of the best selling one. It is not a bluetooth speaker in traditional sense. U can pair it with bluetooth but the process is cumbersome and it does not have a battery and has to powered by cord for use which is not informed in product description. If you are not into voice assistant or dont use it very frequently, it is of no use. Moreover it can't be returned, it can only be replaced with same product, so if you don't like the experience u don't have the option for return. Basically you are stuck with it. For me it was waste of money though i admit I should have researched better. Kind of diappointed as it is amazon product and being a customer satisfaction oriented company I expected them to give option of return if one doesn't like the experience.",1,1,0.0037497033,0.9543268,0.041923452
"I am writing my review after using it for 1 year, it is a very wonderful and amazing product.",2,2,0.1662608,0.26209372,0.5716455
Good one,2,2,0.24735959,0.27693978,0.47570053
Awesome product.Loved it.Highly recommended . Sound is too good.Thanks,2,2,0.20152155,0.19323184,0.6052466
Best product for every family,2,2,0.24135008,0.27171186,0.4869381
First time using an echo dot and I’m enjoying it,2,2,0.27895015,0.25448674,0.4665631
"I had third generation before my nephew broke it so I bought Alexa fourth generation echo that one was such a disappointment and had to return it now I got fifth generation echo dot and I love it. It’s very light. I find it smaller a little smaller and a light lighter than the third generation, which is great because I travel a lot, and I carry this around with me. Sound  Quality is also very good a lot better than fourth generation echo",2,1,0.030394811,0.54488015,0.42472506
It doesnt play songs from you tube. But supports spotify. It doesnt identify language while playing songs. It can identify the singer,2,2,0.23170248,0.3242526,0.44404492
"The ultrasonic motion detector is unusable, it works like 10% of the time only. Google it up guys, everyone is complaining about it.Sound recognition is better in English than in Hindi. You can only talk to Alexa in simple sentences. Can't process multiple sentences (Alexa, turn off fan and turn on the bulb) or complex queries. Sound quality is impressive but to play music, you must have Amazon Prime membership or Spotify Premium. It also can't tell you when a place is open or close by looking at Google Maps, only Google Nest speakers have that functionality. Not just its use cases are very less, half of the time, it misinterprets what you are saying, so you have to reframe your command it different ways. For the whole day, if you have to keep on saying ""Alexa, ... Alexa ..."", it feels awkward; Your family will look at you as if you are an idiot.In the Alexa app, I can't save my house address, it shows error?? Also, the app is slow, for each menu you click, it has to fetch data from the cloud.When I tell it, ""Turn on the geyser for 10 minutes"", it instead, turns on my geyser after 10 minutes. When I tell it ""For 10 minutes, turn on my geyser."". That's when it understands my query and does what I want. So, you have to remember what combination works and what doesn't. If you say ""pankha chala do"" instead of ""fan chala do"", then it will say that ""No device named Pankha is found"". So, you have to remember the names of the devices. Like, I have multiple tubelights on smart home n/w. But I've to save their name differently, one is named ""tubelight"", other is named ""bulb"".It rained yesterday, but when I asked Alexa if it rained yesterday, it said ""No ..."". So you can't believe it to know the weather as well.When I ask Alexa about which one of my Amazon Delivery is due today, it instead reads all of my delivery.In plain words, it mostly sucks.Only useful query are these simple sentences: ""Alexa, turn off entryway light"", ""Alexa, turn on the socket"", etc.Google Home Mini is cheaper at Rs.4.5kIts Assistant AI is better. And it can tell you when a shop is open or where a particular food item is available in which restaurant. Also, if there is traffic or not.",0,0,0.9387254,0.035837416,0.025437232
Very nice productWatch saat me hoti to aur bhi acha hota.,2,2,0.2178525,0.20676643,0.57538104
Sound quality is low,2,2,0.2598397,0.27190113,0.46825916
Thanks for your support,2,2,0.28909194,0.29189715,0.41901094
Amazing,2,2,0.3006748,0.28487456,0.4144507
Very good quality.,2,2,0.232265,0.22900657,0.5387285
Good buy,2,2,0.250401,0.27265105,0.47694793
Very good product,2,2,0.2184034,0.22145213,0.5601445
This is good product,2,2,0.21959695,0.29075745,0.4896455
Great but it doesn't work properly,2,2,0.27314925,0.33284628,0.3940045
Vari Good product,2,2,0.22775652,0.23998252,0.532261
Product is very good. Best sound quality it has,2,2,0.17139746,0.20566662,0.62293595
Good product,2,2,0.23004095,0.24987195,0.520087
Awesome product,2,2,0.2775873,0.26250282,0.4599099
Very niceVol is ok****Response time 👍Sound quality 👍 bollywood song searching time no upto mark🙂😯,2,2,0.19601418,0.19935334,0.6046325
Good,2,2,0.26259705,0.2822415,0.45516145
Product woking fine now,2,2,0.27588624,0.24771994,0.47639385
Good,2,2,0.26259705,0.2822415,0.45516145
Previous gens were better.,1,2,0.3155985,0.3293829,0.35501853
Nice,2,2,0.2938365,0.29469123,0.4114722
Nice product.sound quality is awesome.,2,2,0.21775767,0.21849924,0.5637432
Enjoying the 5th Ecodot.,2,2,0.36316028,0.27126402,0.36557573
Nice one,2,2,0.27796552,0.2891022,0.43293226
Best use technology,2,2,0.31479946,0.2728963,0.41230422
Very nice,2,2,0.27683976,0.2633909,0.4597693
Excellent,2,2,0.3105069,0.29597482,0.39351833
Good,2,2,0.26259705,0.2822415,0.45516145
Amazing,2,2,0.3006748,0.28487456,0.4144507
"Clarity, good product",2,2,0.2157456,0.2471289,0.5371254
"This sound quality of Alexa is very poor — even our mobile phones sound better. I didn’t expect this kind of performance. Earlier, I used the 4th Gen Alexa, and that was far better. I’m not sure whether this is the default sound quality or if I received a defective product, but I’m completely disappointed.",0,2,0.16509284,0.23410408,0.600803
"The Alexa Echo Dot speaker is an absolutely useless piece of technology, the listening skills are pathetic, maximum times the device just says I CAN'T HELP YOU WITH THAT, it is unable to create even proper reminder requests, you can't call anyone by saying a voice command like in Google app, I don't even understand why it's called 5th Gen, should be called 3rd class, resetting to connect device to new Wifi connection is a pain, the device has to be reset atleast 3-4 times so that the orange light may show up, the device plays the same news for 24 hours even while stating that it is playing live news, 80% of times it doesn't even understand what a person is saying neither in english nor in hindi; when asking for product supports the Alexa team supervisors are just arrogant and egoistic self-righteous piece of work who don't even listen to your problem and just say use it for 3-4 months and then it'll adapt as if they will return the producy after 4 months if it doesn't work properly. The Google Gemini in the phone, that is absolutely free, works wonders and this 4k costing piece of junk is working like absolute nightmare. The product is direct supply of Amazon and still they don't return it. They sent me a replacement but they are unable to accept that the device doesn't work propely because of the way it is built. A very special thanks to the arrogant supervisor Mr..Soham who didn't even listen to a word I said and kept stating his own set of lines repeatedly like he is CEO of Amazon and Alexa. NO RETURN, USELESS BOX, PATHETIC EXPERIENCE, HELLISH SUPPORT TEAM, NEVER EVEN SCROLLING THROUGH ALEXA PAGE IN MY LIFE AGAIN.",0,0,0.9486152,0.029582897,0.021801915
No complaint about echo dot but i felt like someone used it and returned it and Amazon sold it to me,1,1,0.029088818,0.88703513,0.08387609
"I use my Echo Dot every single day. From setting timers while cooking to playing my favorite music with just my voice, it makes life so much easier. The sound quality is surprisingly rich for such a small device, and Alexa understands my commands most of the time without me repeating. Definitely worth it for anyone who wants a smart assistant in the house.",2,2,0.1861432,0.14580709,0.66804963
"If you configure it well and integrate with your home lighting and fans, it's very useful. It's not just limited to listening songs etc. kids are happy interacting with Alexa",2,2,0.21220012,0.22465049,0.56314945
Very nice sound effect. Response time quite. Voice assistant features are perfectly working.,2,2,0.20474665,0.18388288,0.6113705
"Alexa was easy to setup and co-operative so far. Yes they are learning and we all fine with it, I believeThey could not earn my 5 stars since volume is not loud enough, so definitely not replacement of any music systemIt's good as long as it goes for chitchat and fun",2,2,0.09047078,0.21900305,0.6905261
It is just a smart Speaker to play audio from Amazon Music and does basic stuffs. It does not have AI capabilities or any other useful feature.It is nothing compared to Perplexity AI (Pro) which I use on my Iphone.,1,1,0.0035757103,0.9818273,0.014596921
Best quality,2,2,0.2850794,0.28106132,0.43385926
Good 👍,2,2,0.24623512,0.26960978,0.48415506
